name,artists,popularity,album_name,danceability,energy,liveness,valence,tempo,speechiness,title
Ordinary,Alex Warren,95,"You'll Be Alright, Kid (Chapter 1)",-2.1088601122297717,0.18650051684862554,-0.8976797442287342,-0.7163290708575452,1.594730117466773,-0.431838759053439,Ordinary by Alex Warren
Manchild,Sabrina Carpenter,89,Manchild,0.45215565162098964,0.13277342757494986,1.0286331888577693,1.166712149779482,-0.002582956352085026,-0.4615466183772318,Manchild by Sabrina Carpenter
back to friends,sombr,98,back to friends,-1.6291106027480864,0.3596211378415826,-0.6190260794807247,-1.4157443813798696,-1.0704684621941793,-0.7490762568325127,back to friends by sombr
Die With A Smile,"Lady Gaga, Bruno Mars",91,MAYHEM,-1.0435339955866174,-0.3686794056460293,-0.37566364404117025,-0.23660190274287404,1.2352505694713125,-0.7321003372189167,"Die With A Smile by Lady Gaga, Bruno Mars"
BIRDS OF A FEATHER,Billie Eilish,100,HIT ME HARD AND SOFT,0.5650378891460922,-0.9298290047266482,-0.4418346989945234,-0.5056077914053064,-0.6411540537271357,-0.6885995432090772,BIRDS OF A FEATHER by Billie Eilish
Donâ€™t Say You Love Me,Jin,93,Echo,0.4380453719303518,-0.6014967924986261,-0.530062772265661,0.9246068499832926,-0.3933323734126612,-0.7458932719049635,Donâ€™t Say You Love Me by Jin
La Plena - W Sound 05,"W Sound, BeÃ©le, Ovy On The Drums",95,La Plena (W Sound 05),1.602143446407971,-0.1179529890355397,-0.5594721300227068,0.4852305651679864,-0.8514731390926205,0.3320776235583772,"La Plena - W Sound 05 by W Sound, BeÃ©le, Ovy On The Drums"
undressed,sombr,96,undressed,-0.17575179461239246,1.3386480979396842,-0.6925494738733393,1.5119363735629368,-0.2508650084648004,-0.6376717843682895,undressed by sombr
APT.,"ROSÃ‰, Bruno Mars",89,rosie,0.7766920845056594,0.7178017329994248,1.3080220875497048,1.740591378926004,0.9187626647884802,1.6901511926460504,"APT. by ROSÃ‰, Bruno Mars"
Love Me Not,Ravyn Lenae,91,Bird's Eye,0.7908023641962972,0.40737855052929495,-0.3609589651626473,1.180162444212603,-0.3216206125328652,-0.7437712819532639,Love Me Not by Ravyn Lenae
WILDFLOWER,Billie Eilish,96,HIT ME HARD AND SOFT,-1.4104012675432003,-2.4819449170772967,-0.05216070871366573,-1.9044384124499552,0.8859700274676456,-0.6111469099720458,WILDFLOWER by Billie Eilish
TU SANCHO,Fuerza Regida,90,111XPANTIA,0.15583977811759547,1.0580732983993744,-0.37566364404117025,0.3596944837921845,-0.10875177566943219,-0.5835610405999525,TU SANCHO by Fuerza Regida
