name,artists,popularity,album_name,danceability,energy,liveness,valence,tempo,speechiness
"Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)","DJ Maphorisa, Xduppy, Kabza De Small, Thatohatsi, Young Stunna, Nkosazana Daughter",69,NGOMOYA,0.74,0.747,0.181,0.542,112.992,0.0496
Vuka (feat. Thukuthela),"Oscar Mbo, Jazzworx, Thukuthela",71,Vuka (feat. Thukuthela),0.738,0.455,0.105,0.524,118.006,0.0466
Vuma Dlozi Lami (feat. Ancestral Rituals),"Issa sisdoh, Ancestral Rituals",69,Vuma Dlozi Lami (feat. Ancestral Rituals),0.675,0.619,0.0456,0.759,117.988,0.0328
UNIKHODIMA,"NHLOSO KHWELA, Shenge wasehlalankosi",63,UNIKHODIMA,0.822,0.56,0.088,0.896,129.968,0.0812
Warning,"Shandesh, Shebeshxt, King Salah, Kaycherlow NLL",63,Warning,0.536,0.706,0.0957,0.82,126.787,0.0856
Ordinary,Alex Warren,95,"You'll Be Alright, Kid (Chapter 1)",0.368,0.694,0.055,0.391,168.115,0.06
Sdudla or Slender,"Shandesh, Mvzzle",69,Sdudla or Slender,0.848,0.68,0.0425,0.815,127.052,0.0662
Di Chopper,"Shandesh, Mvzzle, Abi wa Mampela, Naleboy Young King",68,Di Chopper,0.757,0.722,0.0575,0.887,127.063,0.0589
Sajola Kamnandi,"Sminofu, Zee Nxumalo",66,Sajola Kamnandi,0.668,0.943,0.0979,0.78,155.973,0.055
Sohlala Sisonke,"Dlala Thukzin, Zeh McGeba, MK Productions",67,Finally Famous Too,0.715,0.765,0.0391,0.733,118.026,0.0363
Ngwanaka,"Janesh, Hitboss SA",64,Lekompo Easter,0.719,0.71,0.0506,0.345,127.866,0.0536
Ngisakuthanda,"Zee Nxumalo, TBO, PYY Log Drum King, Dj Tearz, Dr Thulz",68,Ngisakuthanda,0.767,0.814,0.0668,0.546,112.998,0.0555
Deda,Samthing Soweto,59,Deda,0.322,0.394,0.174,0.223,86.969,0.0548
Ndonwabile (feat. Raspy & Babalwa M),"Kelvin Momo, Raspy, Babalwa M",62,Thato Ya Modimo,0.856,0.548,0.0427,0.323,111.997,0.053
Ncono Siyeke,"Mshinwemali, Shenge wasehlalankosi",62,Ncono Siyeke,0.455,0.799,0.575,0.868,99.729,0.0359
Wayengenalutho,MENZI MUSIC,64,Sizesiguge,0.591,0.962,0.0849,0.93,68.517,0.0397
Emhlabeni (feat. Thatohatsi & Tracy),"Kelvin Momo, Da Muziqal Chef, Thatohatsi, Tracy",64,Thato Ya Modimo,0.832,0.615,0.113,0.708,112.007,0.0588
Soft,"Nasty C, Usimamane",57,Soft,0.659,0.416,0.111,0.245,180.973,0.275
Uvume Kanjani?,LIMIT NALA,63,Uvume Kanjani?,0.641,0.721,0.0945,0.787,129.982,0.0272
Mamenemene,"Shandesh, DJ Janisto, King Salah",62,Mamenemene,0.751,0.66,0.065,0.877,126.876,0.112
"ZENZELE (feat. Royal MusiQ, Uncool MC, Xduppy, & CowBoii)","Uncle Waffles, Royal MusiQ, Uncool MC, Xduppy, CowBoii",69,4 Da Ho's,0.884,0.409,0.0686,0.723,113.037,0.0775
Romeo & Juliet,"Naledi Aphiwe, Mawelele",64,Romeo & Juliet,0.744,0.562,0.0593,0.691,125.989,0.0475
Amen,"Cici, Naledi Aphiwe",63,Amen,0.228,0.365,0.109,0.255,100.515,0.0295
Ngiyakuthanda,MENZI MUSIC,63,Sizesiguge,0.556,0.924,0.335,0.833,136.027,0.0365
"Dlala Ka Yona (feat. Focalistic, Ricky Lenyora, Uncool MC & Mellow & Sleazy)","DJ Maphorisa, Xduppy, Enny Man Da Guitar, Focalistic, Ricky Lenyora, Uncool MC, Mellow & Sleazy",63,ROUGH DANCE,0.871,0.664,0.0655,0.624,112.0,0.057
Abangifuni,"Romeo Makota, Eemoh",63,Lebelo - EP,0.775,0.621,0.118,0.313,113.015,0.0416
Mkhuzeni (feat. Da Muziqal Chef),"Kelvin Momo, Babalwa M, Da Muziqal Chef",61,Thato Ya Modimo,0.796,0.836,0.0345,0.543,113.015,0.0531
Ngishutheni,"Goon Flavour, Master KG, Eemoh",71,Ngishutheni,0.787,0.591,0.0796,0.716,112.032,0.0444
BIRDS OF A FEATHER,Billie Eilish,100,HIT ME HARD AND SOFT,0.747,0.507,0.117,0.438,104.978,0.0358
Shapa Bell (feat. King WaveMusiq),"Naleboy Young King, Shandesh, King WaveMusiq",59,Shapa Bell (feat. King WaveMusiq),0.843,0.657,0.0776,0.811,126.977,0.0978
Modimo (feat. Sir Trill & Murumba Pitch),"Kelvin Momo, Tycoon, Sir Trill, Murumba Pitch",61,Thato Ya Modimo,0.829,0.741,0.629,0.577,112.984,0.0493
luther (with sza),"Kendrick Lamar, SZA",92,GNX,0.707,0.575,0.248,0.576,138.008,0.125
Sigade Umzila,Mthandeni SK,62,Sigade Umzila,0.705,0.882,0.208,0.883,89.968,0.0368
Esandleni,Nontokozo Mkhize,57,Lindiwe,0.477,0.683,0.335,0.495,99.768,0.0395
Residuals,Chris Brown,76,11:11 (Deluxe),0.58,0.645,0.108,0.171,114.905,0.0821
WILDFLOWER,Billie Eilish,96,HIT ME HARD AND SOFT,0.467,0.247,0.17,0.126,148.101,0.0431
Awsukanini,Umafikizolo,61,Inja Kabi Lena,0.665,0.972,0.259,0.967,163.963,0.0379
