name,artists,popularity,album_name,danceability,energy,liveness,valence,tempo,speechiness
En Privado,"Xavi, Manuel Turizo",89,En Privado,0.833,0.863,0.135,0.91,126.973,0.0377
PRESIDENTE,"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega",86,PRESIDENTE,0.732,0.827,0.117,0.584,105.145,0.0585
ZAZA,"Oscar Maydon, Victor Mendivil",71,"Rico o Muerto, Vol. 1",0.88,0.651,0.209,0.407,130.091,0.332
2025-05-07 00:00:00,"Tito Double P, Junior H",86,INCÃ“MODO,0.827,0.596,0.138,0.964,111.997,0.039
Lejos Estamos Mejor,Eden MuÃ±oz,84,Lejos Estamos Mejor,0.692,0.648,0.104,0.936,154.518,0.0343
Y LLORO,Junior H,85,$AD BOYZ 4 LIFE II,0.728,0.589,0.166,0.767,77.475,0.0376
El Mayor de los Ranas (En Vivo),"Grupo Marca Registrada, Victor Valverde",86,El Mayor de los Ranas (En Vivo),0.747,0.809,0.199,0.922,91.017,0.0603
EL LOKERON,Tito Double P,86,INCÃ“MODO,0.724,0.689,0.0922,0.936,120.208,0.0524
Todo a Su Tiempo,Neton Vega,85,Todo a Su Tiempo,0.801,0.884,0.0558,0.87,137.944,0.0828
ayy weyy,Fuerza Regida,82,111XPANTIA,0.738,0.872,0.114,0.78,123.892,0.0638
Madonna,"Natanael Cano, Oscar Maydon",84,Madonna,0.732,0.873,0.347,0.662,128.029,0.0321
RZR,"Victor Mendivil, AlemÃ¡n",80,RZR,0.923,0.717,0.348,0.404,140.074,0.409
Ø£ÙØ´ØªÙ†ÙŠ,"Shinigami, Furelise",53,Ø£ÙØ´ØªÙ†ÙŠ,0.753,0.538,0.102,0.395,116.992,0.041
AmnÃ©sie,"ZAKLOOW, Tagne, Shaw",64,SYMPHONY IX,0.435,0.456,0.106,0.479,182.676,0.303
Ã‰chec - Spotify Singles,"Inkonnu, Sipo",56,Ã‰chec (Spotify Singles),0.687,0.666,0.116,0.241,160.173,0.0498
WALLAHI,Shaw,62,BLÃ‰DARD (Deluxe),0.746,0.481,0.092,0.452,102.03,0.0395
TAF TAF,"OldyGotTheSound, Anys, Shaw",56,TAF TAF,0.671,0.694,0.219,0.763,155.901,0.0758
PIRATE,Stormy,65,OMEGA,0.798,0.647,0.139,0.847,125.963,0.0423
BOUHALI,ElGrandeToto,67,SALGOAT,0.536,0.668,0.0781,0.596,174.014,0.143
DIPLOMATICO,ElGrandeToto,65,SALGOAT,0.827,0.582,0.146,0.444,110.009,0.107
Ù„ÙˆÙ„ÙŠ Ù„ÙˆÙ„ÙŠ,"JamShow, Lakamura",59,'Ø¨Ø±Ø§ÙŠÙ… 6 'Ø§Ù„Ù†Ù‡Ø§Ø¦ÙŠ,0.759,0.485,0.104,0.674,100.666,0.144
Mizane,"Stormy, Inkonnu",62,Mizane,0.775,0.61,0.135,0.696,121.978,0.0342
STALINE,ElGrandeToto,66,SALGOAT,0.658,0.405,0.109,0.254,120.98,0.201
BLUE LOVE,ElGrandeToto,67,27,0.703,0.636,0.105,0.319,125.919,0.0621
KYKY2BONDY,Hamza,87,KYKY2BONDY,0.906,0.402,0.118,0.746,140.103,0.474
3DABI,Draganov,65,3DABI,0.556,0.394,0.525,0.466,136.955,0.264
Lalla w Mali,Figoshin,62,Lalla w Mali,0.757,0.507,0.111,0.205,120.979,0.184
7ali Ya 7ali,Inkonnu,59,Arabi,0.792,0.575,0.104,0.457,126.058,0.24
Jedi ou Jedek,Mounim Slimani,65,Jedi ou Jedek,0.556,0.826,0.202,0.351,104.597,0.253
Totopika,"Vacra, ElGrandeToto",70,En Attendant Paphos,0.627,0.589,0.0958,0.663,94.69,0.302
Mok ya mok,"Benny Adam, Khadija El Warzazia",61,Mok ya mok,0.664,0.681,0.202,0.78,113.319,0.476
MOON,Stormy,60,ICEBERG,0.667,0.652,0.12,0.42,139.012,0.0358
DÃ©sert,"La Fouine, ElGrandeToto",64,CAPITALE DU CRIME RADIO,0.716,0.574,0.126,0.619,159.921,0.0521
Belbala,Douaa Lahyaoui,59,Belbala,0.586,0.772,0.137,0.76,176.982,0.0417
Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin",84,Winter Ahead (with PARK HYO SHIN),0.36,0.316,0.23,0.229,76.844,0.0284
BABOUR LOU7,"Shaw, Hassa1, NAYRA",59,BLÃ‰DARD (Deluxe),0.617,0.577,0.0838,0.582,190.32,0.266
Dawini,"Tawsen, Ayoub Anbaoui",63,Dawini,0.584,0.811,0.183,0.928,100.006,0.0294
ÙƒÙ„ Ù†Ù‡Ø§Ø±,"JamShow, Shinigami",55,'Ø¨Ø±Ø§ÙŠÙ… 6 'Ø§Ù„Ù†Ù‡Ø§Ø¦ÙŠ,0.67,0.56,0.567,0.414,153.973,0.337
Rassi (feat. ElGrandeToto),"Baby Gang, ElGrandeToto, Chahid",67,Rassi (feat. ElGrandeToto),0.656,0.657,0.334,0.183,99.9,0.127
Lâ€™appel V2,"Dollypran, LFERDA",47,Alha9i9a (Ø§Ù„Ø­Ù‚ÙŠÙ‚Ø©),0.646,0.805,0.0845,0.854,124.71,0.735
Balade,"1D1R, Vacra",71,Meraki,0.796,0.666,0.0989,0.577,119.952,0.14
Zahri,Inkonnu,55,Arabi,0.469,0.489,0.0917,0.347,84.691,0.205
Mahboul Ana,Lazaro,65,Mahboul Ana,0.523,0.709,0.109,0.588,143.969,0.0928
NINAO,GIMS,80,LE NORD SE SOUVIENT : L'ODYSSÃ‰E,0.805,0.57,0.115,0.867,122.984,0.101
Ma Jolie,LFERDA,59,CagoulÃ©,0.833,0.599,0.177,0.564,99.97,0.205
RS6,"DYSTINCT, Morad",80,RS6,0.928,0.594,0.0913,0.517,124.084,0.0794
Ana wiyek (feat. ElGrandeToto),"Anas, ElGrandeToto",56,"Diaspora, Vol.2",0.672,0.524,0.101,0.316,99.088,0.216
Impardonnable,Damso,80,BÄ’YÄ€H,0.643,0.648,0.126,0.64,187.577,0.125
Doberwoman,"Valerieblud, Furelise",58,Doberwoman,0.766,0.421,0.0852,0.0805,125.989,0.237
FACE TO FACE,Shaw,57,BLÃ‰DARD,0.723,0.608,0.0897,0.295,122.143,0.0799
Si tu savais,"Anys, Stormy",58,Si tu savais,0.701,0.806,0.359,0.713,140.961,0.037
MARADONA,Stormy,59,ICEBERG,0.802,0.694,0.116,0.783,121.006,0.0473
RAZONES (feat. Morad),"ElGrandeToto, Morad",61,27,0.683,0.643,0.0712,0.591,199.503,0.386
Qui sait ? (feat. ElGrandeToto),"Niro, ElGrandeToto",67,Taulier,0.534,0.624,0.112,0.642,87.786,0.116
Love Me Again,V,76,Layover,0.633,0.607,0.167,0.363,74.029,0.0532
TWINS,Stormy,58,OMEGA,0.727,0.832,0.134,0.296,132.937,0.269
Donâ€™t Say You Love Me,Jin,93,Echo,0.729,0.562,0.105,0.757,111.976,0.0304
3oud Ned,Figoshin,56,3oud Ned,0.681,0.479,0.0816,0.681,90.185,0.399
Badadi,Douaa Lahyaoui,64,Badadi,0.684,0.829,0.118,0.42,109.0,0.0471
Mimi,Jul,82,D&P Ã  vie,0.718,0.894,0.0903,0.725,109.67,0.0551
Atiteha l'amour Ø¹Ø·ÙŠØªÙ‡Ø§,Cheb Momo,61,Atiteha l'amour Ø¹Ø·ÙŠØªÙ‡Ø§,0.507,0.725,0.148,0.543,47.685,0.146
Melina,"STOOR, LFERDA",48,Melina,0.447,0.436,0.0811,0.14,77.494,0.387
RaÄ·eÅ¡u ZinÄtne,"FiÅ†Ä·is, Patrisha",51,RaÄ·eÅ¡u ZinÄtne,0.634,0.726,0.244,0.494,113.96,0.114
back to friends,sombr,98,back to friends,0.436,0.723,0.0929,0.235,92.855,0.0301
undressed,sombr,96,undressed,0.642,0.887,0.0829,0.888,115.999,0.0406
Ordinary,Alex Warren,95,"You'll Be Alright, Kid (Chapter 1)",0.368,0.694,0.055,0.391,168.115,0.06
Who,Jimin,90,MUSE,0.66,0.756,0.193,0.838,116.034,0.032
Love Me Not,Ravyn Lenae,91,Bird's Eye,0.779,0.731,0.128,0.814,114.001,0.0306
Rock That Body,Black Eyed Peas,78,THE E.N.D. (THE ENERGY NEVER DIES),0.715,0.907,0.426,0.841,124.991,0.0993
Uz Seen,"SingapÅ«ras SatÄ«ns, A-Europa",47,LUKSUS STONKS,0.683,0.738,0.665,0.769,117.443,0.0315
Nope your too late i already died,"wifiskeleton, i wanna be a jack-o-lantern",92,suburban daredevil,0.704,0.597,0.264,0.978,119.993,0.036
MÅ«su mÄ«lestÄ«ba,Sudden Lights,48,MÅ«su mÄ«lestÄ«ba,0.511,0.512,0.138,0.133,139.917,0.0405
NÄrnija,"OLAS, Esmeralda, heywhosthatkid",49,NÄrnija,0.705,0.889,0.222,0.563,124.95,0.0665
The Days - NOTION Remix,"Chrystal, NOTION",92,The Days (NOTION Remix),0.62,0.843,0.55,0.237,137.812,0.0844
We Are The People,Empire Of The Sun,90,Walking On A Dream (10th Anniversary Edition),0.675,0.781,0.422,0.534,122.989,0.0306
Espresso Macchiato,Tommy Cash,79,Espresso Macchiato,0.678,0.694,0.133,0.646,119.87,0.0487
Donâ€™t Say You Love Me,Jin,93,Echo,0.729,0.562,0.105,0.757,111.976,0.0304
Vasara bez internetiem,Carnival Youth,44,Ð›ÐµÑ‚Ð¾ Ð±ÐµÐ· Ð¸Ð½Ñ‚ÐµÑ€Ð½ÐµÑ‚Ð°,0.486,0.89,0.111,0.913,177.954,0.107
BIRDS OF A FEATHER,Billie Eilish,100,HIT ME HARD AND SOFT,0.747,0.507,0.117,0.438,104.978,0.0358
Manchild,Sabrina Carpenter,89,Manchild,0.731,0.685,0.317,0.811,123.01,0.0572
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),"A$AP Rocky, Imogen Heap, Clams Casino",88,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),0.47,0.652,0.175,0.104,141.981,0.0561
DEGVIELA,SingapÅ«ras SatÄ«ns,46,SUPER,0.751,0.873,0.594,0.718,134.95,0.194
VÄ“lvienreiz,Sudrabu Sirds,47,Ä¶Ä“niÅ†u,0.519,0.661,0.115,0.402,87.112,0.24
Ko tÄ?,"Wiesulis, sangvn",47,Ko tÄ?,0.779,0.452,0.153,0.597,138.964,0.315
Just Keep Watching (From F1Â® The Movie),"Tate McRae, F1 The Album",91,Just Keep Watching (From F1Â® The Movie),0.656,0.796,0.509,0.425,129.956,0.113
ÐšÑƒÑ…Ð½Ð¸,Ð‘Ð¾Ð½Ð´ Ñ ÐºÐ½Ð¾Ð¿ÐºÐ¾Ð¹,66,ÐšÑƒÑ…Ð½Ð¸,0.371,0.638,0.356,0.21,99.797,0.0356
DaÄ¼a RÄ«gas,Astro'n'out,45,KuÅ¡ KuÅ¡,0.62,0.707,0.137,0.416,107.014,0.0235
Show Me Love,"WizTheMc, bees & honey",94,Show Me Love,0.714,0.691,0.111,0.155,107.15,0.0434
Bara Bada Bastu,KAJ,75,Sauna Collection,0.757,0.889,0.0397,0.754,106.037,0.0788
ItÄlija,"Wiesulis, sangvn",47,Fianchetto,0.915,0.43,0.0791,0.244,98.985,0.23
Pasarg' dievs,"Wiesulis, sangvn",47,En Prise,0.915,0.539,0.157,0.691,133.049,0.0663
Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",93,Shake It To The Max (FLY) (Remix),0.856,0.548,0.155,0.562,97.997,0.123
Baller,Abor & Tynna,84,BittersÃ¼ÃŸ,0.732,0.835,0.202,0.829,137.904,0.0553
Stolen Dance,Milky Chance,79,Sadnecessary (Bonus Track Version),0.879,0.565,0.0798,0.685,114.009,0.037
SINEPES & MEDUS,Sudrabu Sirds,45,POSTAPOCALYPTIC,0.637,0.859,0.105,0.571,164.968,0.15
Fake ID,"kizaru, Icegergert",71,Fake ID,0.79,0.634,0.366,0.155,160.016,0.291
NIGHTS LIKE THIS,The Kid LAROI,89,THE FIRST TIME,0.482,0.757,0.143,0.12,142.579,0.0355
Sailor Song,Gigi Perez,89,"At The Beach, In Every Life",0.499,0.392,0.192,0.272,95.076,0.0262
5AM In Whitechapel,Marko,46,5AM In Whitechapel,0.628,0.676,0.102,0.676,85.009,0.219
Fame is a Gun,Addison Rae,76,Addison,0.692,0.399,0.1,0.411,137.976,0.035
ÐÐ°ÑÐ»ÐµÐ´ÑÑ‚Ð²Ð¾,"Icegergert, SKY RAE",67,ÐÐ°ÑÐ»ÐµÐ´ÑÑ‚Ð²Ð¾,0.861,0.716,0.179,0.593,83.486,0.234
Lidojam tik augstu,"Deniss, Sudrabu Sirds",41,22,0.702,0.668,0.104,0.394,167.989,0.307
Champagne Coast,Blood Orange,82,Coastal Grooves,0.813,0.406,0.0757,0.755,122.658,0.0662
PÄri OkeÄnam (feat. JÄnis KrÅ«miÅ†Å¡),"OLAS, JÄnis KrÅ«miÅ†Å¡",45,Ir KlÄt,0.708,0.803,0.0799,0.725,168.039,0.134
OWA OWA,Lil Tecca,85,OWA OWA,0.719,0.729,0.101,0.444,126.005,0.0704
Sundress,A$AP Rocky,87,Sundress,0.721,0.707,0.143,0.743,125.005,0.0595
Lighter,Kyle Alessandro,83,Lighter,0.704,0.657,0.268,0.561,105.088,0.0601
Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",95,Hurry Up Tomorrow,0.768,0.775,0.138,0.6,119.999,0.0466
Sweater Weather,The Neighbourhood,93,I Love You.,0.612,0.807,0.101,0.398,124.053,0.0336
Be Mine,Jimin,76,MUSE,0.687,0.747,0.11,0.56,66.495,0.0883
Die With A Smile,"Lady Gaga, Bruno Mars",91,MAYHEM,0.519,0.601,0.126,0.498,157.964,0.0317
The Spins,"Mac Miller, Empire Of The Sun",87,K.I.D.S. (Deluxe),0.794,0.766,0.0785,0.55,127.006,0.0377
Ordinary,Alex Warren,95,"You'll Be Alright, Kid (Chapter 1)",0.368,0.694,0.055,0.391,168.115,0.06
Been That,Sexton,23,Been That,0.688,0.735,0.214,0.479,80.002,0.127
KYKY2BONDY,Hamza,87,KYKY2BONDY,0.906,0.402,0.118,0.746,140.103,0.474
Midnight Drive,IurisEkero,37,PROYECTO ONE,0.747,0.659,0.109,0.458,101.021,0.0452
Paris,Nono La Grinta,82,Paris,0.831,0.854,0.147,0.358,124.003,0.0967
NINAO,GIMS,80,LE NORD SE SOUVIENT : L'ODYSSÃ‰E,0.805,0.57,0.115,0.867,122.984,0.101
Show Me Love,"WizTheMc, bees & honey",94,Show Me Love,0.714,0.691,0.111,0.155,107.15,0.0434
Messy,Lola Young,89,This Wasn't Meant For You Anyway,0.798,0.562,0.122,0.647,110.991,0.0375
Mia,"SEYSEY, BOLEMVN",76,Mia,0.655,0.821,0.0924,0.666,105.059,0.0445
Impardonnable,Damso,80,BÄ’YÄ€H,0.643,0.648,0.126,0.64,187.577,0.125
Azizam,Ed Sheeran,92,Azizam,0.663,0.899,0.065,0.876,127.998,0.0473
Sinking in the Floor,crazyaimone,27,Sinking in the Floor,0.608,0.664,0.59,0.306,142.986,0.193
Breakfast in Paris,"CafÃ© Latte, Mark Vank",27,Breakfast in Paris,0.77,0.439,0.115,0.0794,90.964,0.111
APT.,"ROSÃ‰, Bruno Mars",89,rosie,0.777,0.783,0.355,0.939,149.027,0.26
DtMF,Bad Bunny,97,DeBÃ TiRAR MÃ¡S FOToS,0.625,0.131,0.0807,0.032,136.02,0.0717
Los Angeles,Siaka,79,Los Angeles,0.79,0.575,0.109,0.444,137.108,0.283
Beautiful Things,Benson Boone,93,Fireworks & Rollerblades,0.472,0.471,0.14,0.219,105.029,0.0603
Just Keep Watching (From F1Â® The Movie),"Tate McRae, F1 The Album",91,Just Keep Watching (From F1Â® The Movie),0.656,0.796,0.509,0.425,129.956,0.113
back to friends,sombr,98,back to friends,0.436,0.723,0.0929,0.235,92.855,0.0301
I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",89,I Adore You (feat. Daecolm),0.704,0.787,0.159,0.31,119.996,0.0462
Mussulo (feat. Doddy),"DJ Malvado, DJ Aka-m, DODDY",70,Mussulo (feat. Doddy),0.893,0.543,0.0919,0.78,124.038,0.07
SPIDER,"GIMS, DYSTINCT",80,LE NORD SE SOUVIENT,0.823,0.691,0.1,0.707,119.96,0.197
Love Me Not,Ravyn Lenae,91,Bird's Eye,0.779,0.731,0.128,0.814,114.001,0.0306
BIRDS OF A FEATHER,Billie Eilish,100,HIT ME HARD AND SOFT,0.747,0.507,0.117,0.438,104.978,0.0358
Afro Trap Pt. 3 (Champions League),MHD,77,MHD,0.962,0.726,0.0654,0.566,123.066,0.4
Die With A Smile,"Lady Gaga, Bruno Mars",91,MAYHEM,0.519,0.601,0.126,0.498,157.964,0.0317
Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",93,Shake It To The Max (FLY) (Remix),0.856,0.548,0.155,0.562,97.997,0.123
Poney,Werenoi,80,Diamant Noir,0.45,0.647,0.134,0.392,86.116,0.167
Si Antes Te Hubiera Conocido,KAROL G,94,Si Antes Te Hubiera Conocido,0.924,0.668,0.0678,0.787,128.027,0.0469
Manchild,Sabrina Carpenter,89,Manchild,0.731,0.685,0.317,0.811,123.01,0.0572
La Plena - W Sound 05,"W Sound, BeÃ©le, Ovy On The Drums",95,La Plena (W Sound 05),0.894,0.643,0.101,0.659,99.039,0.132
Anxiety,Doechii,85,Alligator Bites Never Heal (Extended),0.807,0.596,0.105,0.881,129.013,0.0394
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",89,Move,0.727,0.782,0.225,0.655,119.992,0.042
Beautiful People,"David Guetta, Sia",87,Beautiful People,0.739,0.761,0.131,0.417,127.033,0.0904
Espresso Macchiato,Tommy Cash,84,Espresso Macchiato,0.682,0.699,0.135,0.697,119.889,0.045
Melrose Place,"KeBlack, Guy2Bezbar",78,Focus MentalitÃ©,0.603,0.782,0.0452,0.497,121.029,0.165
SOIS PAS TIMIDE,GIMS,78,LE NORD SE SOUVIENT,0.917,0.658,0.0733,0.795,127.936,0.0933
undressed,sombr,96,undressed,0.642,0.887,0.0829,0.888,115.999,0.0406
Deslocado,NAPA,79,Deslocado,0.568,0.455,0.152,0.412,75.504,0.0275
Pa Pa Paw,"Damso, SARAH SEY",77,BÄ’YÄ€H,0.804,0.608,0.144,0.359,127.023,0.209
Mood,KeBlack,76,Focus,0.752,0.694,0.132,0.696,127.045,0.117
The Emptiness Machine,Linkin Park,85,From Zero,0.466,0.872,0.121,0.806,184.115,0.0336
Thatâ€™s So True,Gracie Abrams,96,The Secret of Us (Deluxe),0.554,0.808,0.159,0.372,108.548,0.0368
PÃ©lican,L2B,75,NÃ©s Pour Briller : Book I,0.825,0.554,0.0459,0.763,93.021,0.395
Bad Dreams,Teddy Swims,89,I've Tried Everything But Therapy (Part 2),0.707,0.68,0.0932,0.62,125.058,0.0884
Dolce Camara,"Booba, SDM",74,AD VITAM Ã†TERNAM,0.785,0.692,0.0559,0.649,112.035,0.339
CIEL,GIMS,78,LE NORD SE SOUVIENT,0.797,0.605,0.13,0.874,129.933,0.0769
Another Love,Tom Odell,67,Long Way Down,0.442,0.538,0.09,0.139,122.758,0.0451
Tout Pour L'Ã©quipe,L2B,73,NÃ©s Pour Briller : Book II,0.742,0.587,0.139,0.625,115.994,0.114
Chemin d'or,Werenoi,78,CarrÃ©,0.679,0.607,0.159,0.396,91.444,0.161
Donâ€™t Say You Love Me,Jin,93,Echo,0.729,0.562,0.105,0.757,111.976,0.0304
Vis Vien,Jessica Shy,57,Vis Vien,0.513,0.732,0.0801,0.716,206.236,0.0875
MILIJONAS NAKTÅ²,"bielskis, Tautvydas Burauskas",54,MILIJONAS NAKTÅ²,0.339,0.407,0.135,0.362,174.694,0.0569
Baller,Abor & Tynna,84,BittersÃ¼ÃŸ,0.732,0.835,0.202,0.829,137.904,0.0553
back to friends,sombr,98,back to friends,0.436,0.723,0.0929,0.235,92.855,0.0301
1000 VÄ—trÅ³,Jessica Shy,54,Sutemos,0.827,0.694,0.106,0.875,132.015,0.0346
MeilÄ—s MaÅ¡ina,Solo Ansamblis,52,Scenos,0.831,0.438,0.125,0.946,118.022,0.0785
Vienas,Free Finga,56,Plastika,0.687,0.688,0.0944,0.393,140.003,0.0584
Love Me Not,Ravyn Lenae,91,Bird's Eye,0.779,0.731,0.128,0.814,114.001,0.0306
Apkabink,Jessica Shy,54,Pasaka,0.837,0.61,0.133,0.902,110.003,0.0334
Man Patinka Taip Gyvent,Atlanta,50,Man Patinka Taip Gyvent,0.6,0.815,0.374,0.59,131.963,0.0523
Tarp GeltonÅ³ RÅ«tÅ³,Jessica Shy,54,Sutemos,0.76,0.74,0.244,0.548,119.956,0.0307
undressed,sombr,96,undressed,0.642,0.887,0.0829,0.888,115.999,0.0406
Nope your too late i already died,"wifiskeleton, i wanna be a jack-o-lantern",92,suburban daredevil,0.704,0.597,0.264,0.978,119.993,0.036
Ordinary,Alex Warren,95,"You'll Be Alright, Kid (Chapter 1)",0.368,0.694,0.055,0.391,168.115,0.06
VasarÄ… galvoj minoras,Katarsis,61,VasarÄ… galvoj minoras,0.643,0.276,0.105,0.282,119.974,0.0569
Lighter,Kyle Alessandro,83,Lighter,0.704,0.657,0.268,0.561,105.088,0.0601
AÅ¡ Å alia,Å okoledas,51,Demo,0.708,0.747,0.182,0.948,120.052,0.0342
Rock That Body,Black Eyed Peas,81,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],0.715,0.907,0.426,0.841,124.991,0.0993
Manchild,Sabrina Carpenter,89,Manchild,0.731,0.685,0.317,0.811,123.01,0.0572
Tavo akys,Katarsis,42,Tavo akys,0.511,0.761,0.0756,0.238,110.079,0.0348
BIRDS OF A FEATHER,Billie Eilish,100,HIT ME HARD AND SOFT,0.747,0.507,0.117,0.438,104.978,0.0358
We Are The People,Empire Of The Sun,90,Walking On A Dream (10th Anniversary Edition),0.675,0.781,0.422,0.534,122.989,0.0306
Balta MeilÄ—,Katarsis,61,Balta MeilÄ—,0.238,0.565,0.357,0.144,133.948,0.0316
BerÅ¾as (feat. Monika Liu),"Free Finga, Monika LIU",52,Plastika,0.802,0.432,0.0754,0.545,104.042,0.0297
Å½vaigÅ¾dÄ—s,Jessica Shy,52,Sutemos,0.733,0.711,0.19,0.576,111.999,0.0249
Espresso Macchiato,Tommy Cash,84,Espresso Macchiato,0.682,0.699,0.135,0.697,119.889,0.045
Just Keep Watching (From F1Â® The Movie),"Tate McRae, F1 The Album",91,Just Keep Watching (From F1Â® The Movie),0.656,0.796,0.509,0.425,129.956,0.113
MEDUS,Angelou,47,RODEO,0.672,0.585,0.102,0.551,89.996,0.025
Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",93,Shake It To The Max (FLY) (Remix),0.856,0.548,0.155,0.562,97.997,0.123
LauÅ¾ai,"Sauben, HiperbolÄ—",52,LauÅ¾ai,0.934,0.656,0.0805,0.707,127.985,0.194
Bara Bada Bastu,KAJ,75,Sauna Collection,0.757,0.889,0.0397,0.754,106.037,0.0788
Å okam LÄ—tai,Jessica Shy,49,Apkabinti Prisiminimus,0.755,0.616,0.248,0.516,100.012,0.0256
Marozika,Vaidas Baumila,46,Vienodai Å¾ydi sodai,0.751,0.651,0.0959,0.654,138.038,0.0368
Nieko Nieko,Jessica Shy,50,Pasaka,0.792,0.713,0.0922,0.64,106.943,0.03
The Days - NOTION Remix,"Chrystal, NOTION",92,The Days (NOTION Remix),0.62,0.843,0.55,0.237,137.812,0.0844
Nepyk Ant ManÄ™s,"Jessica Shy, Free Finga",50,Sutemos,0.742,0.546,0.108,0.303,125.01,0.0334
Deslocado,NAPA,79,Deslocado,0.568,0.455,0.152,0.412,75.504,0.0275
Volevo essere un duro,Lucio Corsi,69,Volevo essere un duro,0.475,0.652,0.194,0.492,79.201,0.0435
Champagne Coast,Blood Orange,83,Coastal Grooves,0.813,0.406,0.0757,0.755,122.658,0.0662
Wasted Love,JJ,84,Wasted Love,0.293,0.833,0.18,0.274,133.165,0.0519
Praradau tave,Katarsis,57,Praradau tave,0.441,0.572,0.174,0.275,159.995,0.0946
Show Me Love,"WizTheMc, bees & honey",94,Show Me Love,0.714,0.691,0.111,0.155,107.15,0.0434
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),"A$AP Rocky, Imogen Heap, Clams Casino",88,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),0.47,0.652,0.175,0.104,141.981,0.0561
Bad Dreams,Teddy Swims,89,I've Tried Everything But Therapy (Part 2),0.707,0.68,0.0932,0.62,125.058,0.0884
Saugok Å¡irdÄ¯,"Ruta MUR, Leon Somov",48,Saugok Å¡irdÄ¯,0.682,0.71,0.07,0.297,120.031,0.0327
Melodramos,"Rokas Yan, Evgenya Redko",49,Melodramos,0.744,0.637,0.132,0.643,129.924,0.0942
Fame is a Gun,Addison Rae,76,Addison,0.692,0.399,0.1,0.411,137.976,0.035
VaikystÄ—s Stogas,FOJE,49,Foje,0.685,0.861,0.0825,0.847,136.932,0.0473
Tyliai PakuÅ¾dÄ—k,"Jessica Shy, Nombeko Auguste",49,Apkabinti Prisiminimus,0.886,0.768,0.0936,0.71,119.989,0.0399
Who,Jimin,90,MUSE,0.66,0.756,0.193,0.838,116.034,0.032
Ð¡Ò¯Ð¹Ð³ÐµÐ½Ñ–Ð¼,Aikyn Tolepbergen,52,Ð–ÐÐŸ-Ð–ÐÒ¢Ð 2025,0.627,0.616,0.118,0.472,150.14,0.0297
Keipker,Ernar Amandyq,55,Keipker,0.63,0.578,0.0615,0.76,82.68,0.045
Ð‘Ð°ÑÒ“Ñ‹Ð´Ð°Ð¹,Duman,55,Ð‘Ð°ÑÒ“Ñ‹Ð´Ð°Ð¹,0.606,0.465,0.153,0.406,119.851,0.0421
Ð‘Ð°Ò›Ñ‹Ñ‚Ñ‹Ò£Ð´Ñ‹ Ñ‚Ð°Ð±Ð°ÑÑ‹Ò£,Kazybek Kuraiysh,56,Ð‘Ð°Ò›Ñ‹Ñ‚Ñ‹Ò£Ð´Ñ‹ Ñ‚Ð°Ð±Ð°ÑÑ‹Ò£,0.656,0.474,0.124,0.555,82.96,0.0391
SaÇµynamyn,ÒšÐ°Ð½Ð°Ñ‚ Ð•Ñ€Ð»Ð°Ð½,55,SaÇµynamyn,0.694,0.556,0.396,0.437,82.978,0.0789
Donâ€™t Say You Love Me,Jin,93,Echo,0.729,0.562,0.105,0.757,111.976,0.0304
Ð”Ð°Ð¹,"Artur, RICK",57,Ð”Ð°Ð¹,0.786,0.47,0.14,0.458,89.866,0.432
Ñ‚Ð°Ðº Ð¿Ð¾Ñ…ÑƒÐ¹,madk1d,72,sexyswag,0.598,0.813,0.128,0.764,80.008,0.169
Kuiim,ALEM,55,Kuiim,0.754,0.517,0.126,0.814,119.978,0.0347
Ð½ÑƒÐ¶Ð½Ð°,M'Dee,56,"ÐÐ»Ð¼Ð°Ñ‚Ð¸Ð½ÑÐºÐ¸Ð¹ Ð´Ð¶Ð°Ð·, Vol. 3",0.699,0.374,0.0656,0.609,137.1,0.0432
Kobelek,6ELLUCCI,54,Kobelek,0.81,0.438,0.092,0.147,132.954,0.0624
Ð’ Ð¾Ñ‚ÐºÑ€Ñ‹Ñ‚Ñ‹Ð¹ ÐºÐ¾ÑÐ¼Ð¾Ñ,Jah Khalib,57,E.G.O.,0.776,0.537,0.0999,0.618,140.002,0.0582
Ð¡Ð¾Ð»Ð½Ñ†Ðµ,V $ X V PRiNCE,52,Ð¡Ð¾Ð»Ð½Ñ†Ðµ,0.897,0.594,0.306,0.632,112.004,0.143
